,Unnamed: 0,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Tota lRecovered,New Recovered,Active Cases,Serious Cases
8,8,1,USA,84984459,40232,1028902,72,81586249,41083,2369308,2307
9,9,2,India,43136371,2039,524413,65,42597003,2202,14955,698
10,10,3,Brazil,30780028,17615,665657,62,29801225,0,313146,8318
11,11,4,France,29337985,22507,147780,0,28534231,36661,655974,1173
12,12,5,Germany,26082317,28383,138709,76,24575600,49300,1368008,944
13,13,6,UK,22238715,0,177977,0,21804498,0,256240,188
14,14,7,Russia,18288740,5034,378270,102,17683089,6288,227381,2300
15,15,8,S. Korea,17938399,23442,23911,26,17322868,50977,591620,235
16,16,9,Italy,17229808,24521,165918,91,16206476,41696,857414,301
17,17,10,Turkey,15061376,1264,98921,3,14958887,1219,3568,975
18,18,11,Spain,12238073,0,105947,0,11620275,0,511851,339
19,19,12,Vietnam,10707568,1457,43075,0,9393101,3069,1271392,221
20,20,13,Argentina,9135308,0,128776,0,8895999,0,110533,300
21,21,14,Japan,8552464,39001,30255,44,8174421,43398,347788,101
22,22,15,Netherlands,8075194,0,22306,0,8007672,0,45216,36
23,23,16,Iran,7229741,159,141271,9,7032212,1857,56258,693
24,24,17,Australia,6910453,46626,8077,50,6522840,45180,379536,107
25,25,18,Colombia,6099111,0,139833,0,5930545,0,28733,342
26,26,19,Indonesia,6052363,263,156519,6,5892126,254,3718,2771
27,27,20,Poland,6005436,336,116268,13,5335238,34,553930,981
28,28,21,Mexico,5752441,0,324617,0,5050420,0,377404,4798
29,29,22,Ukraine,5009301,0,108497,0,0,0,0,177
30,30,23,Malaysia,4489503,2021,35641,3,4422615,0,31247,36
31,31,24,Thailand,4406755,5377,29718,37,4318565,5775,58472,1496
32,32,25,Austria,4231480,2572,18343,10,4166123,9814,47014,54
33,33,26,Belgium,4134293,0,31675,0,3979434,0,123184,105
34,34,27,Israel,4120622,1639,10827,0,4094657,2661,15138,150
35,35,28,Portugal,4066674,0,22583,0,0,0,0,61
36,36,29,South Africa,3926652,5019,100931,15,3739543,0,86178,192
37,37,30,Czechia,3917980,326,40265,1,3875168,661,2547,6
38,38,31,Canada,3845946,1221,40677,13,3515419,1746,289850,370
39,39,32,Philippines,3688750,245,60455,0,3626038,104,2257,480
40,40,33,Switzerland,3642604,0,13934,0,3571955,5435,56715,71
41,41,34,Chile,3636993,6252,57794,12,3481061,3294,98138,143
42,42,35,Peru,3575291,415,213098,12,0,0,0,189
43,43,36,Greece,3417613,3424,29679,21,3334940,2803,52994,156
44,44,37,Denmark,2979238,0,6312,0,2964497,807,8429,11
45,45,38,Romania,2905859,320,65651,4,0,0,0,99
46,46,39,Sweden,2506607,0,18908,0,2478858,0,8841,7
47,47,40,DPRK,2460640,219030,66,1,1768080,281350,692494,0
48,48,41,Iraq,2327192,78,25216,0,2300754,121,1222,8
49,49,42,Serbia,2014900,247,16063,3,1991034,0,7803,8
50,50,43,Bangladesh,1953204,16,29128,1,1900747,172,23329,1259
51,51,44,Hungary,1914697,0,46446,0,1830803,0,37448,21
52,52,45,Slovakia,1788334,201,20077,2,1764824,487,3433,30
53,53,46,Jordan,1694216,0,14048,0,1678941,0,1227,124
54,54,47,Georgia,1655221,0,16811,0,1637293,0,1117,0
55,55,48,Ireland,1551835,0,7244,0,1521332,0,23259,22
56,56,49,Pakistan,1529709,70,30379,0,1494141,0,5189,71
57,57,50,Norway,1431233,107,3094,0,0,0,0,20
58,58,51,Kazakhstan,1305686,3,13661,0,1291869,8,156,24
59,59,52,Singapore,1266808,3775,1374,0,1184525,6191,80909,8
60,60,53,Taiwan,1240884,84626,1343,59,131666,17031,1107875,0
61,61,54,Hong Kong,1210159,228,9370,0,0,0,0,5
62,62,55,Morocco,1166530,153,16075,0,1149476,77,979,293
63,63,56,Bulgaria,1163317,92,37090,3,1042582,274,83645,47
64,64,57,Croatia,1134027,462,15961,7,1114626,571,3440,6
65,65,58,Cuba,1104935,44,8529,0,1096068,82,338,23
66,66,59,Lebanon,1098503,71,10417,1,1085682,139,2404,186
67,67,60,New Zealand,1094192,6726,997,7,1036860,7118,56335,0
68,68,61,Finland,1081225,0,4406,0,0,0,0,21
69,69,62,Lithuania,1061511,136,9134,1,1035076,272,17301,12
70,70,63,Tunisia,1041789,0,28628,0,0,0,0,29
71,71,64,Slovenia,1021969,4,6628,0,1008163,1,7178,8
72,72,65,Belarus,982867,0,6978,0,0,0,0,0
73,73,66,Nepal,979062,11,11952,0,966962,12,148,0
74,74,67,Bolivia,907013,270,21943,0,865407,336,19663,220
75,75,68,UAE,904466,373,2302,0,888228,304,13936,0
76,76,69,Uruguay,902540,0,7213,0,892434,0,2893,18
77,77,70,Costa Rica,877533,0,8472,0,848035,0,21026,38
78,78,71,Ecuador,874599,512,35617,1,0,0,0,759
79,79,72,Guatemala,856376,1485,17942,50,835724,1196,2710,5
80,80,73,Panama,828120,3203,8221,5,790766,3354,29133,16
81,81,74,Latvia,826856,0,5813,0,818257,0,2786,7
82,82,75,Azerbaijan,792707,0,9710,0,782945,0,52,0
83,83,76,Saudi Arabia,762575,411,9128,1,746999,474,6448,81
84,84,77,Sri Lanka,663749,8,16512,0,646935,2,302,0
85,85,78,Paraguay,650283,0,18885,0,624673,0,6725,4
86,86,79,Kuwait,632474,0,2555,0,629392,0,527,3
87,87,80,Myanmar,613219,16,19434,0,592174,8,1611,0
88,88,81,Palestine,582246,0,5355,0,576764,0,127,17
89,89,82,Dominican Republic,581153,109,4377,0,576147,141,629,1
90,90,83,Bahrain,580797,451,1480,0,574805,651,4512,4
91,91,84,Estonia,575046,0,2561,0,516588,0,55897,4
92,92,85,Venezuela,523266,28,5716,0,516468,36,1082,230
93,93,86,Moldova,517753,0,11503,0,504142,0,2108,49
94,94,87,Egypt,515645,0,24613,0,442182,0,48850,122
95,95,88,Libya,501904,0,6430,0,490973,0,4501,101
96,96,89,Cyprus,477711,0,1032,0,124370,0,352309,60
97,97,90,Ethiopia,471343,116,7512,0,455810,0,8021,6
98,98,91,Mongolia,469885,0,2179,0,313256,0,154450,192
99,99,92,Honduras,424771,0,10896,0,132401,0,281474,105
100,100,93,Armenia,422917,0,8623,0,412071,0,2223,0
101,101,94,RÃÂ©union,411363,0,770,0,403795,0,6798,10
102,102,95,Oman,389473,0,4260,0,384669,0,544,2
103,103,96,Bosnia and Herzegovina,377709,0,15783,0,0,0,0,0
104,104,97,Qatar,366952,101,677,0,365254,129,1021,0
105,105,98,Kenya,324222,47,5649,0,318263,18,310,0
106,106,99,Zambia,321099,154,3984,0,316444,181,671,1
107,107,100,North Macedonia,311113,0,9296,0,301275,0,542,0
108,108,101,Botswana,306614,0,2692,0,303619,0,303,1
109,109,102,Albania,275838,106,3497,0,272091,116,250,2
110,110,103,Algeria,265851,4,6875,0,178381,0,80595,6
111,111,104,Nigeria,255937,13,3143,0,249996,19,2798,11
112,112,105,Zimbabwe,250642,173,5494,5,243033,127,2115,12
113,113,106,Luxembourg,244182,0,1073,0,235939,0,7170,0
114,114,107,Uzbekistan,238910,42,1637,0,237130,23,143,23
115,115,108,Montenegro,236688,58,2719,0,233297,59,672,6
116,116,109,Mozambique,225563,6,2201,0,223279,0,83,13
117,117,110,China,222976,201,5219,1,213042,391,4715,292
118,118,111,Laos,209699,41,754,0,0,0,0,0
119,119,112,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131
120,120,113,Iceland,186969,0,153,0,0,0,0,0
121,121,114,Afghanistan,179674,5,7697,0,162633,29,9344,1124
122,122,115,Maldives,179560,0,298,0,163687,0,15575,25
123,123,116,Namibia,164577,2356,4031,0,153662,0,6884,0
124,124,117,Uganda,164069,0,3596,0,100205,0,60268,2
125,125,118,El Salvador,162089,0,4130,0,150662,0,7297,8
126,126,119,Ghana,161325,0,1445,0,159826,0,54,1
127,127,120,Trinidad and Tobago,157880,517,3890,0,144803,370,9187,18
128,128,121,Martinique,153253,0,926,0,104,0,152223,8
129,129,122,Brunei,146315,271,221,0,144387,330,1707,0
130,130,123,Guadeloupe,140130,0,854,0,2250,0,137026,19
131,131,124,Cambodia,136262,0,3056,0,133201,0,5,0
132,132,125,Jamaica,134297,393,3028,7,85927,148,45342,0
133,133,126,Rwanda,129971,15,1459,0,45522,0,82990,0
134,134,127,Cameroon,119780,0,1927,0,117791,0,62,13
135,135,128,Angola,99194,0,1900,0,97149,0,145,0
136,136,129,Malta,93985,73,717,1,90952,167,2316,4
137,137,130,DRC,87633,0,1338,0,50930,0,35365,0
138,138,131,Senegal,86067,4,1966,0,84082,3,19,0
139,139,132,Malawi,85929,11,2638,1,82799,6,492,67
140,140,133,French Guiana,82313,0,397,0,11254,0,70662,1
141,141,134,Ivory Coast,82044,0,799,0,81213,0,32,0
142,142,135,Suriname,80240,0,1339,0,49466,0,29435,0
143,143,136,Barbados,78732,284,437,1,74087,502,4208,0
144,144,137,Channel Islands,75767,0,176,0,74979,0,612,0
145,145,138,French Polynesia,72858,0,649,0,0,0,0,7
146,146,139,Eswatini,72125,28,1404,0,70196,139,525,11
147,147,140,Fiji,64841,0,862,0,62931,0,1048,0
148,148,141,Madagascar,64276,0,1393,0,59370,0,3513,6
149,149,142,Guyana,64228,54,1231,0,62455,43,542,0
150,150,143,Sudan,62211,0,4937,0,0,0,0,0
151,151,144,New Caledonia,61514,0,312,0,60620,0,582,9
152,152,145,Bhutan,59574,0,21,0,59509,0,44,0
153,153,146,Mauritania,59003,31,982,0,57762,7,259,0
154,154,147,Belize,58419,0,677,0,56886,0,856,6
155,155,148,Cabo Verde,56167,11,401,0,55663,0,103,23
156,156,149,Syria,55878,1,3150,0,52591,10,137,0
157,157,150,Gabon,47622,14,304,0,47303,6,15,0
158,158,151,Papua New Guinea,44394,0,651,0,43726,0,17,7
159,159,152,Seychelles,43729,0,167,0,43040,0,522,0
160,160,153,CuraÃÂ§ao,43522,0,276,0,42622,0,624,3
161,161,154,Andorra,42572,0,153,0,41757,0,662,14
162,162,155,Burundi,41606,0,38,0,0,0,0,0
163,163,156,Mauritius,37955,0,996,0,36289,0,670,0
164,164,157,Mayotte,37523,0,187,0,2964,0,34372,0
165,165,158,Togo,37044,5,273,0,36744,4,27,0
166,166,159,Guinea,36597,0,442,0,36113,0,42,8
167,167,160,Aruba,36316,0,213,0,35808,0,295,0
168,168,161,Tanzania,35354,0,840,0,0,0,0,7
169,169,162,Faeroe Islands,34658,0,28,0,0,0,0,5
170,170,163,Bahamas,34212,64,810,0,32579,12,823,0
171,171,164,Lesotho,32910,0,697,0,24155,0,8058,0
172,172,165,Mali,31054,6,734,0,30156,12,164,0
173,173,166,Haiti,30746,0,835,0,29651,0,260,0
174,174,167,Isle of Man,28416,0,105,0,26794,0,1517,0
175,175,168,Benin,26952,0,163,0,25506,0,1283,5
176,176,169,Somalia,26521,0,1350,0,13182,0,11989,0
177,177,170,Saint Lucia,24873,0,368,0,23651,0,854,1
178,178,171,Cayman Islands,24477,0,28,0,8553,0,15896,1
179,179,172,Congo,24079,0,385,0,20178,0,3516,0
180,180,173,Timor-Leste,22890,0,131,0,22748,0,11,0
181,181,174,Burkina Faso,20853,0,382,0,20439,0,32,0
182,182,175,Nicaragua,18491,0,225,0,4225,0,14041,0
183,183,176,Gibraltar,18273,0,102,0,16579,0,1592,0
184,184,177,Solomon Islands,18174,0,146,0,16357,0,1671,2
185,185,178,South Sudan,17573,0,138,0,13514,0,3921,1
186,186,179,Liechtenstein,17392,0,84,0,17248,0,60,0
187,187,180,Tajikistan,17388,0,124,0,17264,0,0,0
188,188,181,Grenada,17146,0,223,0,15792,0,1131,4
189,189,182,San Marino,16991,0,115,0,16680,0,196,4
190,190,183,Equatorial Guinea,15910,0,183,0,15704,0,23,5
191,191,184,Djibouti,15631,0,189,0,15427,0,15,0
192,192,185,CAR,14649,0,113,0,6859,0,7677,2
193,193,186,Bermuda,14442,0,137,0,13945,0,360,0
194,194,187,Dominica,13116,0,63,0,12465,0,588,0
195,195,188,Samoa,12382,0,25,0,1605,0,10752,4
196,196,189,Monaco,12109,10,57,0,11983,16,69,4
197,197,190,Gambia,11999,0,365,0,11591,0,43,0
198,198,191,Greenland,11971,0,21,0,2761,0,9189,4
199,199,192,Yemen,11819,0,2149,0,9009,0,661,23
200,200,193,Tonga,11500,106,11,0,10875,182,614,0
201,201,194,Saint Martin,10602,0,63,0,1399,0,9140,7
202,202,195,Sint Maarten,10189,0,86,0,10068,0,35,10
203,203,196,Caribbean Netherlands,9986,0,35,0,9886,0,65,0
204,204,197,Eritrea,9754,1,103,0,9640,0,11,0
205,205,198,Niger,9031,0,310,0,8628,0,93,1
206,206,199,Vanuatu,8659,0,14,0,8287,0,358,0
207,207,200,Guinea-Bissau,8246,4,171,0,8029,18,46,6
208,208,201,Comoros,8100,0,160,0,7933,0,7,0
209,209,202,Antigua and Barbuda,7942,32,138,0,7623,26,181,1
210,210,203,Sierra Leone,7682,0,125,0,0,0,0,0
211,211,204,Liberia,7455,0,294,0,5747,0,1414,2
212,212,205,Chad,7415,0,193,0,4874,0,2348,0
213,213,206,St. Vincent Grenadines,6843,9,106,0,6641,0,96,0
214,214,207,British Virgin Islands,6690,0,62,0,0,0,0,1
215,215,208,Turks and Caicos,6097,0,36,0,6026,0,35,4
216,216,209,Sao Tome and Principe,5973,0,73,0,5897,0,3,0
217,217,210,Saint Kitts and Nevis,5669,15,43,0,5570,10,56,0
218,218,211,Cook Islands,5543,0,1,0,5433,0,109,0
219,219,212,Palau,4967,0,6,0,4240,0,721,1
220,220,213,St. Barth,4611,0,6,0,0,0,0,0
221,221,214,Anguilla,3116,0,9,0,3042,0,65,4
222,222,215,Kiribati,3098,0,13,0,2602,0,483,3
223,223,216,Saint Pierre Miquelon,2748,0,1,0,2449,0,298,1
224,224,217,Falkland Islands,1512,0,0,0,0,0,0,0
225,225,218,Montserrat,915,29,4,0,749,98,162,0
226,226,219,Diamond Princess,712,0,13,0,699,0,0,0
227,227,220,Wallis and Futuna,454,0,7,0,438,0,9,0
228,228,221,Macao,82,0,0,0,82,0,0,0
229,229,222,Vatican City,29,0,0,0,29,0,0,0
230,230,223,Marshall Islands,17,0,0,0,14,0,3,0
231,231,224,Western Sahara,10,0,1,0,9,0,0,0
232,232,225,MS Zaandam,9,0,2,0,7,0,0,0
233,233,226,Niue,9,0,0,0,9,0,0,0
234,234,227,Nauru,8,0,0,0,5,0,3,0
235,235,228,Micronesia,7,0,0,0,1,0,6,0
236,236,229,Saint Helena,2,0,0,0,2,0,0,0
